,Country_Region,Province_State,Lat,Long_,Last_Update1,Confirmed,Deaths,Recovered,Active,Daily_Confirmed,Daily_Deaths,Daily_Recovered,Daily_Active,IP
0,Spain,Catalonia,41.5912,1.5209,2020-05-15,55482,5823,25849,23810,55482.0,5823.0,25849.0,23810.0,35456.0
1,Spain,Catalonia,41.5912,1.5209,2020-05-16,55464,5882,25904,23678,27852.0,59.0,55.0,-132.0,27856.0
2,Spain,Catalonia,41.5912,1.5209,2020-05-17,55685,5915,26067,23703,221.0,33.0,163.0,25.0,91.0
3,Spain,Catalonia,41.5912,1.5209,2020-05-18,55685,5915,26067,23703,0.0,0.0,0.0,0.0,0.0
4,Spain,Catalonia,41.5912,1.5209,2020-05-19,55921,5956,26203,23762,236.0,41.0,136.0,59.0,141.0
5,Spain,Catalonia,41.5912,1.5209,2020-05-20,55825,5981,0,49844,150.0,25.0,68.0,26082.0,107.0
6,Spain,Catalonia,41.5912,1.5209,2020-05-21,55888,6021,0,49867,63.0,40.0,0.0,23.0,103.0
7,Spain,Catalonia,41.5912,1.5209,2020-05-22,55888,6021,0,49867,0.0,0.0,0.0,0.0,0.0
8,Spain,Catalonia,41.5912,1.5209,2020-05-23,57036,6656,0,50380,1148.0,635.0,0.0,513.0,1783.0
9,Spain,Catalonia,41.5912,1.5209,2020-05-24,57114,6663,0,50451,78.0,7.0,0.0,71.0,85.0
10,Spain,Catalonia,41.5912,1.5209,2020-05-25,57148,6701,0,50447,34.0,38.0,0.0,-4.0,72.0
11,Spain,Catalonia,41.5912,1.5209,2020-05-26,57320,5575,0,51745,172.0,23.0,0.0,1298.0,195.0
12,Spain,Catalonia,41.5912,1.5209,2020-05-27,57569,5583,26203,25783,249.0,8.0,26203.0,-25962.0,-25946.0
13,Spain,Catalonia,41.5912,1.5209,2020-05-28,57569,5583,26203,25783,0.0,0.0,0.0,0.0,0.0
14,Spain,Catalonia,41.5912,1.5209,2020-05-29,58427,5584,26203,26640,858.0,1.0,0.0,857.0,859.0
15,Spain,Catalonia,41.5912,1.5209,2020-05-30,58699,5584,26203,26912,272.0,0.0,0.0,272.0,272.0
16,Spain,Catalonia,41.5912,1.5209,2020-05-31,59003,5587,26203,27213,304.0,3.0,0.0,301.0,307.0
17,Spain,Catalonia,41.5912,1.5209,2020-06-01,59013,5587,26203,27223,10.0,0.0,0.0,10.0,10.0
18,Spain,Catalonia,41.5912,1.5209,2020-06-02,59019,5587,26203,27229,6.0,0.0,0.0,6.0,6.0
19,Spain,Catalonia,41.5912,1.5209,2020-06-03,59035,5587,26203,27245,16.0,0.0,0.0,16.0,16.0
20,Spain,Catalonia,41.5912,1.5209,2020-06-04,59112,5587,26203,27322,77.0,0.0,0.0,77.0,77.0
