,Country_Region,Province_State,Lat,Long_,Last_Update1,Confirmed,Deaths,Recovered,Active,Daily_Confirmed,Daily_Deaths,Daily_Recovered,Daily_Active,IP
0,Spain,,40.0,-4.0,2020-03-01,84,0,2,0.0,84.0,0.0,2.0,0.0,82.0
1,Spain,,40.0,-4.0,2020-03-02,120,0,2,0.0,36.0,0.0,0.0,0.0,36.0
2,Spain,,40.0,-4.0,2020-03-03,165,1,2,0.0,45.0,1.0,0.0,0.0,46.0
3,Spain,,40.0,-4.0,2020-03-04,222,2,2,0.0,57.0,1.0,0.0,0.0,58.0
4,Spain,,40.0,-4.0,2020-03-05,259,3,2,0.0,37.0,1.0,0.0,0.0,38.0
5,Spain,,40.0,-4.0,2020-03-06,400,5,2,0.0,141.0,2.0,0.0,0.0,143.0
6,Spain,,40.0,-4.0,2020-03-07,500,10,30,0.0,100.0,5.0,28.0,0.0,77.0
7,Spain,,40.0,-4.0,2020-03-08,673,17,30,0.0,173.0,7.0,0.0,0.0,180.0
8,Spain,,40.0,-4.0,2020-03-09,1073,28,32,0.0,400.0,11.0,2.0,0.0,409.0
9,Spain,,40.0,-4.0,2020-03-10,1695,35,32,0.0,622.0,7.0,0.0,0.0,629.0
10,Spain,,40.4637,-3.7492,2020-03-11,5232,133,193,0.0,3537.0,98.0,161.0,0.0,3474.0
12,Spain,,40.0,-4.0,2020-03-12,2277,55,183,0.0,0.0,1.0,0.0,0.0,1.0
13,Spain,,40.4637,-3.7492,2020-03-14,6391,195,517,0.0,4114.0,140.0,334.0,0.0,3920.0
14,Spain,,40.4637,-3.7492,2020-03-15,7798,289,517,0.0,1407.0,94.0,0.0,0.0,1501.0
15,Spain,,40.4637,-3.7492,2020-03-16,9942,342,530,0.0,2144.0,53.0,13.0,0.0,2184.0
16,Spain,,40.4637,-3.7492,2020-03-17,11748,533,1028,0.0,1806.0,191.0,498.0,0.0,1499.0
17,Spain,,40.4637,-3.7492,2020-03-18,13910,623,1081,0.0,2162.0,90.0,53.0,0.0,2199.0
18,Spain,,40.4637,-3.7492,2020-03-19,17963,830,1107,0.0,4053.0,207.0,26.0,0.0,4234.0
19,Spain,,40.4637,-3.7492,2020-03-20,20410,1043,1588,0.0,2447.0,213.0,481.0,0.0,2179.0
20,Spain,,40.4637,-3.7492,2020-03-21,25374,1375,2125,0.0,4964.0,332.0,537.0,0.0,4759.0
21,Spain,,40.46367,-3.74922,2020-03-22,28603,1756,2125,24722.0,3229.0,381.0,0.0,24722.0,3610.0
22,Spain,,40.46367,-3.74922,2020-03-23,35136,2311,3355,29470.0,6533.0,555.0,1230.0,4748.0,5858.0
23,Spain,,40.46367,-3.74922,2020-03-24,39885,2808,3794,33283.0,4749.0,497.0,439.0,3813.0,4807.0
24,Spain,,40.46367,-3.74922,2020-03-25,49515,3647,5367,40501.0,9630.0,839.0,1573.0,7218.0,8896.0
25,Spain,,40.46367,-3.74922,2020-03-26,57786,4365,7015,46406.0,8271.0,718.0,1648.0,5905.0,7341.0
26,Spain,,40.46367,-3.74922,2020-03-27,65719,5138,9357,51224.0,7933.0,773.0,2342.0,4818.0,6364.0
27,Spain,,40.46367,-3.74922,2020-03-28,73235,5982,12285,54968.0,7516.0,844.0,2928.0,3744.0,5432.0
28,Spain,,40.46367,-3.74922,2020-03-29,80110,6803,14709,58598.0,6875.0,821.0,2424.0,3630.0,5272.0
29,Spain,,40.46367,-3.74922,2020-03-30,87956,7716,16780,63460.0,7846.0,913.0,2071.0,4862.0,6688.0
30,Spain,,40.46367,-3.74922,2020-03-31,95923,8464,19259,68200.0,7967.0,748.0,2479.0,4740.0,6236.0
31,Spain,,40.46367,-3.74922,2020-04-01,104118,9387,22647,72084.0,8195.0,923.0,3388.0,3884.0,5730.0
32,Spain,,40.46367,-3.74922,2020-04-02,112065,10348,26743,74974.0,7947.0,961.0,4096.0,2890.0,4812.0
33,Spain,,40.46367,-3.74922,2020-04-03,119199,11198,30513,77488.0,7134.0,850.0,3770.0,2514.0,4214.0
34,Spain,,40.46367,-3.74922,2020-04-04,126168,11947,34219,80002.0,6969.0,749.0,3706.0,2514.0,4012.0
35,Spain,,40.46367,-3.74922,2020-04-05,131646,12641,38080,80925.0,5478.0,694.0,3861.0,923.0,2311.0
36,Spain,,40.46367,-3.74922,2020-04-06,136675,13341,40437,82897.0,5029.0,700.0,2357.0,1972.0,3372.0
37,Spain,,40.46367,-3.74922,2020-04-07,141942,14045,43208,84689.0,5267.0,704.0,2771.0,1792.0,3200.0
38,Spain,,40.46367,-3.74922,2020-04-08,148220,14792,48021,85407.0,6278.0,747.0,4813.0,718.0,2212.0
39,Spain,,40.46367,-3.74922,2020-04-09,153222,15447,52165,85610.0,5002.0,655.0,4144.0,203.0,1513.0
40,Spain,,40.46367,-3.74922,2020-04-10,158273,16081,55668,86524.0,5051.0,634.0,3503.0,914.0,2182.0
41,Spain,,40.46367,-3.74922,2020-04-11,163027,16606,59109,87312.0,4754.0,525.0,3441.0,788.0,1838.0
42,Spain,,40.46367,-3.74922,2020-04-12,166831,17209,62391,87231.0,3804.0,603.0,3282.0,-81.0,1125.0
43,Spain,,40.46367,-3.74922,2020-04-13,170099,17756,64727,87616.0,3268.0,547.0,2336.0,385.0,1479.0
44,Spain,,40.46367,-3.74922,2020-04-14,172541,18056,67504,86981.0,2442.0,300.0,2777.0,-635.0,-35.0
45,Spain,,40.46367,-3.74922,2020-04-15,177644,18708,70853,88083.0,5103.0,652.0,3349.0,1102.0,2406.0
46,Spain,,40.46367,-3.74922,2020-04-16,184948,19315,74797,90836.0,7304.0,607.0,3944.0,2753.0,3967.0
47,Spain,,40.46367,-3.74922,2020-04-17,190839,20002,74797,96040.0,5891.0,687.0,0.0,5204.0,6578.0
48,Spain,,40.46367,-3.74922,2020-04-18,191726,20043,74797,96886.0,887.0,41.0,0.0,846.0,928.0
49,Spain,,40.46367,-3.74922,2020-04-19,198674,20453,77357,100864.0,6948.0,410.0,2560.0,3978.0,4798.0
50,Spain,,40.46367,-3.74922,2020-04-20,200210,20852,80587,98771.0,1536.0,399.0,3230.0,-2093.0,-1295.0
