,Country_Region,Province_State,Lat,Long_,Last_Update1,Confirmed,Deaths,Recovered,Active,Daily_Confirmed,Daily_Deaths,Daily_Recovered,Daily_Active,IP
0,Uganda,,1.0,32.0,2020-03-21,1,0,0,0,1.0,0.0,0.0,0.0,1.0
1,Uganda,,1.373333,32.290276,2020-03-22,1,0,0,1,0.0,0.0,0.0,1.0,0.0
2,Uganda,,1.373333,32.290276,2020-03-23,9,0,0,9,8.0,0.0,0.0,8.0,8.0
3,Uganda,,1.373333,32.290276,2020-03-24,9,0,0,9,0.0,0.0,0.0,0.0,0.0
4,Uganda,,1.373333,32.290276,2020-03-25,14,0,0,14,5.0,0.0,0.0,5.0,5.0
5,Uganda,,1.373333,32.290276,2020-03-26,14,0,0,14,0.0,0.0,0.0,0.0,0.0
6,Uganda,,1.373333,32.290276,2020-03-27,23,0,0,23,9.0,0.0,0.0,9.0,9.0
7,Uganda,,1.373333,32.290276,2020-03-28,30,0,0,30,7.0,0.0,0.0,7.0,7.0
8,Uganda,,1.373333,32.290276,2020-03-29,33,0,0,33,3.0,0.0,0.0,3.0,3.0
9,Uganda,,1.373333,32.290276,2020-03-30,33,0,0,33,0.0,0.0,0.0,0.0,0.0
10,Uganda,,1.373333,32.290276,2020-03-31,44,0,0,44,11.0,0.0,0.0,11.0,11.0
11,Uganda,,1.373333,32.290276,2020-04-01,44,0,0,44,0.0,0.0,0.0,0.0,0.0
12,Uganda,,1.373333,32.290276,2020-04-02,45,0,0,45,1.0,0.0,0.0,1.0,1.0
13,Uganda,,1.373333,32.290276,2020-04-03,48,0,0,48,3.0,0.0,0.0,3.0,3.0
14,Uganda,,1.373333,32.290276,2020-04-04,48,0,0,48,0.0,0.0,0.0,0.0,0.0
15,Uganda,,1.373333,32.290276,2020-04-05,52,0,0,52,4.0,0.0,0.0,4.0,4.0
16,Uganda,,1.373333,32.290276,2020-04-06,52,0,0,52,0.0,0.0,0.0,0.0,0.0
17,Uganda,,1.373333,32.290276,2020-04-07,52,0,0,52,0.0,0.0,0.0,0.0,0.0
18,Uganda,,1.373333,32.290276,2020-04-08,53,0,0,53,1.0,0.0,0.0,1.0,1.0
19,Uganda,,1.373333,32.290276,2020-04-09,53,0,0,53,0.0,0.0,0.0,0.0,0.0
20,Uganda,,1.373333,32.290276,2020-04-10,53,0,0,53,0.0,0.0,0.0,0.0,0.0
21,Uganda,,1.373333,32.290276,2020-04-11,53,0,4,49,0.0,0.0,4.0,-4.0,-4.0
22,Uganda,,1.373333,32.290276,2020-04-12,54,0,4,50,1.0,0.0,0.0,1.0,1.0
23,Uganda,,1.373333,32.290276,2020-04-13,54,0,7,47,0.0,0.0,3.0,-3.0,-3.0
24,Uganda,,1.373333,32.290276,2020-04-14,55,0,8,47,1.0,0.0,1.0,0.0,0.0
25,Uganda,,1.373333,32.290276,2020-04-15,55,0,12,43,0.0,0.0,4.0,-4.0,-4.0
26,Uganda,,1.373333,32.290276,2020-04-16,55,0,20,35,0.0,0.0,8.0,-8.0,-8.0
27,Uganda,,1.373333,32.290276,2020-04-17,56,0,20,36,1.0,0.0,0.0,1.0,1.0
28,Uganda,,1.373333,32.290276,2020-04-18,55,0,22,33,-1.0,0.0,2.0,-3.0,-3.0
29,Uganda,,1.373333,32.290276,2020-04-19,55,0,28,27,0.0,0.0,6.0,-6.0,-6.0
30,Uganda,,1.373333,32.290276,2020-04-20,56,0,38,18,1.0,0.0,10.0,-9.0,-9.0
31,Uganda,,1.373333,32.290276,2020-04-21,61,0,38,23,5.0,0.0,0.0,5.0,5.0
32,Uganda,,1.373333,32.290276,2020-04-22,63,0,45,18,2.0,0.0,7.0,-5.0,-5.0
33,Uganda,,1.373333,32.290276,2020-04-24,74,0,46,28,11.0,0.0,1.0,10.0,10.0
34,Uganda,,1.373333,32.290276,2020-04-25,75,0,46,29,1.0,0.0,0.0,1.0,1.0
35,Uganda,,1.373333,32.290276,2020-04-26,75,0,46,29,0.0,0.0,0.0,0.0,0.0
36,Uganda,,1.373333,32.290276,2020-04-27,79,0,46,33,4.0,0.0,0.0,4.0,4.0
37,Uganda,,1.373333,32.290276,2020-04-28,79,0,47,32,0.0,0.0,1.0,-1.0,-1.0
38,Uganda,,1.373333,32.290276,2020-04-29,79,0,52,27,0.0,0.0,5.0,-5.0,-5.0
39,Uganda,,1.373333,32.290276,2020-04-30,81,0,52,29,2.0,0.0,0.0,2.0,2.0
