,Country_Region,Province_State,Lat,Long_,Last_Update1,Confirmed,Deaths,Recovered,Active,Daily_Confirmed,Daily_Deaths,Daily_Recovered,Daily_Active,IP
0,US,Alabama,32.3182,-86.9023,2020-04-12,3667,93,,3470.0,3667.0,93.0,,3470.0,
1,US,Alabama,32.3182,-86.9023,2020-04-13,3870,99,,3635.0,203.0,6.0,,165.0,
2,US,Alabama,32.3182,-86.9023,2020-04-14,4041,114,,3839.0,171.0,15.0,,204.0,
3,US,Alabama,32.3182,-86.9023,2020-04-15,4307,118,,3957.0,266.0,4.0,,118.0,
4,US,Alabama,32.3182,-86.9023,2020-04-16,4465,133,,4212.0,158.0,15.0,,255.0,
5,US,Alabama,32.3182,-86.9023,2020-04-17,4557,148,,4423.0,92.0,15.0,,211.0,
6,US,Alabama,32.3182,-86.9023,2020-04-18,4788,153,,4559.0,231.0,5.0,,136.0,
7,US,Alabama,32.3182,-86.9023,2020-04-19,4978,157,,4731.0,190.0,4.0,,172.0,
8,US,Alabama,32.3182,-86.9023,2020-04-20,5163,163,,4916.0,185.0,6.0,,185.0,
9,US,Alabama,32.3182,-86.9023,2020-04-21,5404,183,,5134.0,241.0,20.0,,218.0,
10,US,Alabama,32.3182,-86.9023,2020-04-22,5692,196,,5397.0,288.0,13.0,,263.0,
11,US,Alabama,32.3182,-86.9023,2020-04-24,5899,202,,5630.0,207.0,6.0,,233.0,
12,US,Alabama,32.3182,-86.9023,2020-04-25,6092,209,,5817.0,193.0,7.0,,187.0,
13,US,Alabama,32.3182,-86.9023,2020-04-26,6274,209,,5817.0,182.0,0.0,,0.0,
14,US,Alabama,32.3182,-86.9023,2020-04-27,6475,219,,6202.0,201.0,10.0,,385.0,
15,US,Alabama,32.3182,-86.9023,2020-04-28,6621,228,,6311.0,146.0,9.0,,109.0,
16,US,Alabama,32.3182,-86.9023,2020-04-29,6820,242,,6508.0,199.0,14.0,,197.0,
17,US,Alabama,32.3182,-86.9023,2020-04-30,6979,256,,6656.0,159.0,14.0,,148.0,
18,US,Alabama,32.3182,-86.9023,2020-05-01,7187,272,0.0,6816.0,208.0,16.0,,160.0,
19,US,Alabama,32.3182,-86.9023,2020-05-02,7440,289,0.0,7005.0,253.0,17.0,0.0,189.0,270.0
20,US,Alabama,32.3182,-86.9023,2020-05-03,7700,288,0.0,7323.0,260.0,-1.0,0.0,318.0,259.0
21,US,Alabama,32.3182,-86.9023,2020-05-04,7977,290,0.0,7598.0,277.0,2.0,0.0,275.0,279.0
22,US,Alabama,32.3182,-86.9023,2020-05-05,8203,298,0.0,7814.0,226.0,8.0,0.0,216.0,234.0
23,US,Alabama,32.3182,-86.9023,2020-05-06,8520,315,,8122.0,317.0,17.0,,308.0,
24,US,Alabama,32.3182,-86.9023,2020-05-07,8769,343,,8348.0,249.0,28.0,,226.0,
25,US,Alabama,32.3182,-86.9023,2020-05-08,9115,369,,8677.0,346.0,26.0,,329.0,
26,US,Alabama,32.3182,-86.9023,2020-05-09,9437,383,,9002.0,322.0,14.0,,325.0,
27,US,Alabama,32.3182,-86.9023,2020-05-10,9720,390,,9278.0,283.0,7.0,,276.0,
28,US,Alabama,32.3182,-86.9023,2020-05-11,9982,393,,9496.0,262.0,3.0,,218.0,
29,US,Alabama,32.3182,-86.9023,2020-05-12,10262,403,,9761.0,280.0,10.0,,265.0,
30,US,Alabama,32.3182,-86.9023,2020-05-13,10566,435,,10029.0,304.0,32.0,,268.0,
31,US,Alabama,32.3182,-86.9023,2020-05-14,10822,450,,10250.0,256.0,15.0,,221.0,
32,US,Alabama,32.3182,-86.9023,2020-05-15,11161,473,,10628.0,339.0,23.0,,378.0,
33,US,Alabama,32.3182,-86.9023,2020-05-16,11494,483,,10890.0,333.0,10.0,,262.0,
34,US,Alabama,32.3182,-86.9023,2020-05-17,11828,485,,11189.0,334.0,2.0,,299.0,
35,US,Alabama,32.3182,-86.9023,2020-05-18,12137,488,,11283.0,309.0,3.0,,94.0,
36,US,Alabama,32.3182,-86.9023,2020-05-19,12438,489,,11597.0,301.0,1.0,,314.0,
37,US,Alabama,32.3182,-86.9023,2020-05-20,12825,504,,11872.0,387.0,15.0,,275.0,
38,US,Alabama,32.3182,-86.9023,2020-05-21,13186,522,,12530.0,361.0,18.0,,658.0,
39,US,Alabama,32.3182,-86.9023,2020-05-22,13590,529,,12759.0,404.0,7.0,,229.0,
40,US,Alabama,32.3182,-86.9023,2020-05-23,13954,541,7951.0,5178.0,364.0,12.0,,-7581.0,
41,US,Alabama,32.3182,-86.9023,2020-05-24,14328,549,7951.0,5617.0,374.0,8.0,0.0,439.0,382.0
