",""Estado"",""Fecha"",""kmeansIP"",""kmeansR0"",""kmeansIA"""
"1,""Andalucia"",2020-11-03,6,1,2"
"2,""Aragon"",2020-10-23,3,2,4"
"3,""Asturias"",2020-11-14,2,1,2"
"4,""Baleares"",2021-01-01,1,1,2"
"5,""C. Valenciana"",2020-11-05,3,4,1"
"6,""Canarias"",2020-12-17,4,5,3"
"7,""Cantabria"",2020-11-07,4,4,1"
"8,""Ceuta"",2020-11-07,4,3,6"
"9,""Castilla - La Mancha"",2020-11-05,3,1,2"
"10,""Castilla y Leon"",2020-10-31,5,1,6"
"11,""Catalonia"",2020-10-30,6,3,4"
"12,""Extremadura"",2020-11-05,2,1,2"
"13,""Galicia"",2020-11-14,1,6,1"
"14,""La Rioja"",2020-11-06,4,6,6"
"15,""Madrid"",2020-11-05,5,6,1"
"16,""Melilla"",2020-10-21,4,2,5"
"17,""Murcia"",2020-10-31,3,2,4"
"18,""Navarra"",2020-10-23,1,1,5"
"19,""Pais Vasco"",2020-10-31,3,4,4"
