"","Estado","Fecha","IA_dia_1","IA_dia_2","IA_dia_3","IA_dia_4","IA_dia_5","IA_dia_6","IA_dia_7","IA_dia_8","IA_dia_9","IA_dia_10","IA_dia_11","IA_dia_12","IA_dia_13","IA_dia_14","IA_dia_15","IA_dia_16","IA_dia_17","IA_dia_18","IA_dia_19","IA_dia_20","IA_dia_21","IA_dia_22","IA_dia_23","IA_dia_24","IA_dia_25"
"1","Andalucia",2020-11-03,"343.000830181805","354.283363603209","374.249312799201","374.249312799201","374.249312799201","417.323780709609","451.643947818696","448.087882311008","486.554823483879","513.940072144417","513.940072144417","513.940072144417","615.943625610807","633.145058764278","626.115626946754","636.2876282827","648.007286035614","648.007286035614","648.007286035614","692.901136298793","658.580969189705","708.755753944368","704.668050736194","703.569332821858","703.569332821858"
"2","Catalonia",2020-10-30,"330.87937130863","330.87937130863","370.735529264972","394.38445884887","428.109888864169","462.824975171837","484.301801984171","484.301801984171","484.301801984171","605.888146475301","647.338036642731","693.157837711534","735.263214514171","768.487390043724","768.487390043724","768.487390043724","780.273296798308","817.507508213826","825.540432664878","836.349535806214","842.531674463744","842.531674463744","842.531674463744","765.068577397356","707.964124059714"
"3","Madrid",2020-11-05,"457.116695733027","457.116695733027","457.116695733027","438.679812999861","454.299540051399","453.517816223513","447.352522637542","435.774160281114","435.774160281114","435.774160281114","419.107218290332","400.596588026233","417.765013227357","401.658552471663","396.717467899175","396.717467899175","396.717467899175","388.236501841918","356.008830824344","367.483946637467","362.882100707268","356.171075392396","356.171075392396","356.171075392396","345.315438839108"
"4","Baden-Wurttemberg",2020-12-12,"301.558256246521","298.48874735768","297.733032403285","298.554056057443","297.714372774781","303.06035634106","306.316461514936","308.424999535842","312.044967465538","316.971109390486","328.222865378151","338.504320683629","348.403253604784","355.997722405745","363.14436012262","370.384295982013","381.869297325973","391.189781763516","402.114994252368","410.59579540725","420.000248173059","425.25293359682","431.046748247184","434.396151563579","437.6242672947"
"5","Bayern",2020-12-31,"443.274325079569","447.945943765857","450.530906105603","452.531916109563","452.018038054071","452.243832957242","445.259763021242","432.763183035422","421.909455620946","414.053350196839","417.549278180411","393.202358793707","405.294065160049","394.237900935834","370.350357386616","353.579246302842","348.868697460835","345.388341539551","329.263471040714","314.547872178907","329.170038666988","334.519042062787","337.937109734921","342.196068770587","341.573186279082"
"6","Nordrhein-Westfalen",2020-12-11,"326.726285190421","323.936673346424","316.44169212701","311.949184699528","309.30521524096","303.389893740436","300.852355255836","301.586168813193","303.373088849809","301.715006307996","301.244469370454","294.421683776099","305.736976797936","312.666193366258","316.755383418704","321.08544357013","326.776699862301","333.924380008768","339.783685207204","349.989855447692","356.79583615142","362.134189740435","367.13644551692","373.236620814336","379.174348835696"
"7","Campania",2020-11-09,"405.536867520716","433.270156361282","467.329186037453","500.509161810037","539.446078833554","582.261174843477","604.116867975756","632.711974368857","674.441180262585","714.894896178563","753.297486319508","797.956871891855","832.6191738548","852.251377701539","851.475741904258","864.213405330721","880.794775041488","896.186836529757","890.705676895637","889.171641652125","910.16551723187","910.992862082303","901.961014131739","892.412075649655","887.55142465336"
"8","Lombardia",2020-11-08,"439.46796673828","478.779839003222","535.57580313012","587.978379762427","652.994550807936","715.167941709887","771.148842998421","806.842631444289","854.364770837131","890.476030492892","937.163227465948","987.041097257473","1051.97774997729","1057.50427361302","1069.50160100209","1128.34516201561","1134.52771183831","1153.93018330763","1170.56939295909","1162.71695829681","1157.27989277749","1145.84913345899","1162.19014938909","1160.94767555012","1147.34010206575"
"9","Veneto",2020-12-13,"871.40791389226","859.401849300856","855.528925239112","852.022909772692","856.915024376999","857.730376811051","867.677676506476","867.881514614989","887.266518734557","882.517090806208","886.940377760936","896.418849806782","929.032947168831","959.099068174471","975.936095937629","991.937387455884","1013.03463168696","1029.76974039586","1040.02279725406","1044.6499223173","1053.31304192909","1053.98570768718","1052.70152760355","1071.65847169524","1064.32029978878"
"10","Moscow",2020-12-25,"771.126678265914","768.046135789817","762.785262982112","753.651000304998","752.304811501771","743.723890234573","744.293749298516","731.624708659554","729.568260733151","733.84633312623","750.405281288628","754.592506584556","766.757758775685","767.583641477052","774.669715054776","776.280186322441","779.41028176062","781.252000184667","781.88792986472","780.690399947738","772.183808123663","763.867169320902","735.688051550277","700.951425130801","681.171534433073"
