,Estado,Fecha,IA_dia_1,IA_dia_2,IA_dia_3,IA_dia_4,IA_dia_5,IA_dia_6,IA_dia_7,IA_dia_8,IA_dia_9,IA_dia_10,IA_dia_11,IA_dia_12,IA_dia_13,IA_dia_14,IA_dia_15,IA_dia_16,IA_dia_17,IA_dia_18,IA_dia_19,IA_dia_20,IA_dia_21,IA_dia_22,IA_dia_23,IA_dia_24,IA_dia_25
1,Andalucia,2020-11-03,343.000830181805,354.283363603209,374.249312799201,374.249312799201,374.249312799201,417.323780709609,451.643947818696,448.087882311008,486.554823483879,513.940072144417,513.940072144417,513.940072144417,615.943625610807,633.145058764278,626.115626946754,636.2876282827,648.007286035614,648.007286035614,648.007286035614,692.901136298793,658.580969189705,708.755753944368,704.668050736194,703.569332821858,703.569332821858
2,Aragon,2020-10-23,341.885871049225,341.885871049225,362.797702105701,389.652103858082,367.762381421267,390.479550410677,412.444495261364,412.444495261364,412.444495261364,521.216105720589,555.667971274065,555.968860929553,642.023302399369,678.205283471906,678.205283471906,678.205283471906,814.658742236107,866.110873324703,936.895164778459,980.148052754983,1025.0558338367,1025.0558338367,1025.0558338367,1122.46885980122,1115.17228565561
3,Asturias,2020-11-14,401.851619185225,418.145553915256,421.97364701448,432.280051512391,448.279517542482,473.60382573735,473.60382573735,473.60382573735,511.982912962905,488.327260734366,535.147784024877,555.269811854132,576.569714483149,576.569714483149,576.569714483149,631.439048905362,634.187423438138,650.088733234915,652.248170367811,626.236768539749,626.236768539749,626.236768539749,587.661368847567,610.335458742972,569.698778151208
4,Baleares,2021-01-01,352.953327363998,352.953327363998,415.861816425005,458.796646815354,464.686315397728,490.464285135074,463.662025209489,463.662025209489,463.662025209489,525.119436503824,533.825903103855,547.227033066648,563.701033594157,524.607291409705,524.607291409705,524.607291409705,565.152111360829,564.89603881377,524.265861346959,572.748930256935,620.207708978672,620.207708978672,620.207708978672,619.01270375906,630.792040923807
5,C. Valenciana,2020-11-05,170.266936082967,170.266936082967,170.266936082967,198.957834266265,214.736839607597,231.425411672865,246.235530721308,258.396042356545,258.396042356545,258.396042356545,274.432099163337,287.225352867399,321.769115187332,324.418722600538,321.96684708384,321.96684708384,321.96684708384,341.601624407076,320.523404239332,373.258501037994,385.260827156024,400.64436870434,400.64436870434,400.64436870434,405.38993422053
6,Canarias,2020-12-17,86.5827922674765,86.5827922674765,86.5827922674765,71.0493613829717,65.3507062655794,92.4652749693008,95.912042177401,101.702611087009,101.702611087009,101.702611087009,115.03011095833,116.40881784157,122.337257439502,123.348309153878,127.668257388031,127.668257388031,127.668257388031,155.0585674684,162.457627741788,139.663007272219,130.058015985647,118.982404023618,118.982404023618,118.982404023618,125.875938439819
7,Cantabria,2020-11-07,224.880983286942,284.883630968243,299.841311049255,317.034046774557,341.103876789979,357.265048371762,357.265048371762,357.265048371762,392.338229251377,413.65722155075,425.864063915714,415.720349837787,449.074257144871,449.074257144871,449.074257144871,469.53361265798,446.839201500582,498.933190748245,509.248832183426,517.329417974317,517.329417974317,517.329417974317,520.767965119378,524.550366978944,532.974807484342
8,Ceuta,2020-11-07,444.423487250822,562.307701375709,570.559596364451,620.070966296903,684.907284065591,763.889707529265,763.889707529265,763.889707529265,848.766341699183,902.993080196631,965.471713682821,991.406240790296,1044.45413714649,1044.45413714649,1044.45413714649,1052.70603213524,1009.08887290903,1102.21740206769,1071.56750639522,1019.69845218027,1019.69845218027,1019.69845218027,891.204658784142,871.164342382912,848.766341699183
9,Castilla - La Mancha,2020-11-05,428.46225420138,428.46225420138,428.46225420138,473.983007215357,517.645770310397,527.718031449902,549.573860233197,572.358683975962,572.358683975962,572.358683975962,600.424110646233,623.648984632957,646.971647562782,661.933355857387,658.608531791919,658.608531791919,658.608531791919,647.705064636047,591.329738937748,636.263758293114,628.440642844954,606.975969834067,606.975969834067,606.975969834067,574.26556836645
10,Castilla y Leon,2020-10-31,461.35191267509,524.777883835689,538.431795994685,568.871251541806,594.842913202039,636.556241174019,636.556241174019,636.556241174019,706.370740042039,752.050800904248,763.742224159658,794.76625086955,849.674185086922,849.674185086922,849.674185086922,908.298321696192,902.160324487101,949.093037840962,947.42283451876,955.272790133107,955.272790133107,955.272790133107,972.100088604286,908.882892858962,1002.24725857002
