,Estado,Fecha,IP_dia_1,IP_dia_2,IP_dia_3,IP_dia_4,IP_dia_5,IP_dia_6,IP_dia_7,IP_dia_8,IP_dia_9,IP_dia_10,IP_dia_11,IP_dia_12,IP_dia_13,IP_dia_14,IP_dia_15,IP_dia_16,IP_dia_17,IP_dia_18,IP_dia_19,IP_dia_20,IP_dia_21,IP_dia_22,IP_dia_23,IP_dia_24,IP_dia_25
1,Andalucia,2020-11-03,2826.42857142857,2826.42857142857,3027.71428571429,3083.14285714286,2904,3244,3441.85714285714,3441.85714285714,3441.85714285714,4482.14285714286,4633.71428571429,4735.85714285714,4523.14285714286,4466.85714285714,4466.85714285714,4466.85714285714,3978,3403.42857142857,3925.14285714286,4093.85714285714,4138.57142857143,4138.57142857143,4138.57142857143,3938.85714285714,4229
2,Catalonia,2020-10-30,2545.57142857143,2930,3254.57142857143,3411.14285714286,3411.14285714286,3411.14285714286,4411.42857142857,4661.71428571429,4786.14285714286,4929.57142857143,5142.28571428571,5142.28571428571,5142.28571428571,4273.85714285714,4441.57142857143,4553.42857142857,4536.28571428571,4403.14285714286,4403.14285714286,4403.14285714286,4417.14285714286,3613.71428571429,3614.42857142857,3054.57142857143,2958.57142857143
3,Madrid,2020-11-05,2211.85714285714,2280.14285714286,2170.42857142857,2004.85714285714,1969.85714285714,1969.85714285714,1969.85714285714,1907.42857142857,1654,1965,1980.57142857143,1962.71428571429,1962.71428571429,1962.71428571429,1939,1868.85714285714,1679.42857142857,1621,1577.57142857143,1577.57142857143,1577.57142857143,1498.14285714286,1708,1455.42857142857,1374.42857142857
4,Baden-Wurttemberg,2020-12-12,67.4285714285716,42.8571428571427,-143.142857142857,-5.14285714285734,-7.85714285714312,3.14285714285688,123.714285714285,259.714285714286,394.142857142857,781.857142857143,839,884.857142857143,923.571428571428,957.857142857143,939.714285714285,917.285714285714,965,983.714285714286,973.714285714286,945.857142857143,819.142857142857,738.142857142857,619.285714285714,252.285714285714,-47.4285714285716
5,Bayern,2020-12-31,968.428571428571,555,588.857142857143,416.142857142857,67.8571428571431,-212.571428571428,-313,-436.285714285714,-515,-320.142857142857,204,-414.714285714286,-517.285714285714,-471,-388,-638.571428571429,-971.857142857143,-1159.14285714286,-402.714285714286,-192.571428571429,-177.714285714286,-316,-152.428571428572,-11.2857142857147,-410.428571428572
6,Nordrhein-Westfalen,2020-12-11,-690.142857142857,-677.857142857143,-713.142857142857,-585.285714285714,-944,-1053.71428571429,-976.714285714285,-819.571428571428,-928,-488.142857142858,-165.285714285715,525.285714285714,676.142857142858,765.428571428572,848.714285714286,1073.85714285714,964.285714285714,1040.57142857143,1069.85714285714,1049,1105.71428571429,1134.42857142857,1202.14285714286,859.571428571428,325.428571428571
7,Campania,2020-11-09,2272.42857142857,2518.71428571429,2666.85714285714,2617.28571428571,2587.42857142857,2833.14285714286,2938.28571428571,3160,3150.28571428571,3253.42857142857,3405.42857142857,3397.85714285714,3213.71428571429,3193.28571428571,3052.28571428571,2872.28571428571,2715.85714285714,2805.42857142857,2706.28571428571,2713.85714285714,2379.57142857143,2324.57142857143,2342.71428571429,2243.71428571429,1783
8,Lombardia,2020-11-08,4984.28571428571,5412.14285714286,5710.85714285714,6114.28571428571,6408.42857142857,6366.57142857143,6329.85714285714,6540.85714285714,6207,6714.28571428572,6263.28571428571,5522.14285714286,5511,5562.14285714286,4587.85714285714,5103.28571428571,4367.14285714286,4597,3275.42857142857,3322.28571428571,1774.14285714286,2142.42857142857,1528,1250.28571428571,597.000000000001
9,Veneto,2020-12-13,-512.428571428571,-421.571428571429,-365.142857142857,-263,-180.571428571428,-19.5714285714284,1894,1953.14285714286,1907.42857142857,2052.28571428571,2153.85714285714,2194.14285714286,2025.42857142857,2077,1980.28571428571,2019.85714285714,1558.57142857143,1522.28571428571,1464.85714285714,1595.14285714286,1493.85714285714,1377,-1322.71428571429,-1109.42857142857,-1265.71428571429
10,Moscow,2020-12-25,785.571428571428,793.571428571429,797.285714285714,771,742.428571428571,870.142857142858,1164,1466.42857142857,1604.57142857143,1856.14285714286,1933.57142857143,2126,1994.57142857143,1721.57142857143,1405.14285714286,1231.42857142857,916,618,256,-289.142857142856,-846.142857142857,-1121.14285714286,-1303.28571428571,-1735.57142857143,-1966
