,Estado,Fecha,IP_dia_1,IP_dia_2,IP_dia_3,IP_dia_4,IP_dia_5,IP_dia_6,IP_dia_7,IP_dia_8,IP_dia_9,IP_dia_10,IP_dia_11,IP_dia_12,IP_dia_13,IP_dia_14,IP_dia_15,IP_dia_16,IP_dia_17,IP_dia_18,IP_dia_19,IP_dia_20,IP_dia_21,IP_dia_22,IP_dia_23,IP_dia_24,IP_dia_25
1,Andalucia,2020-11-03,2826.42857142857,2826.42857142857,3027.71428571429,3083.14285714286,2904,3244,3441.85714285714,3441.85714285714,3441.85714285714,4482.14285714286,4633.71428571429,4735.85714285714,4523.14285714286,4466.85714285714,4466.85714285714,4466.85714285714,3978,3403.42857142857,3925.14285714286,4093.85714285714,4138.57142857143,4138.57142857143,4138.57142857143,3938.85714285714,4229
2,Aragon,2020-10-23,489.142857142857,470.571428571429,491.857142857143,475,475,475,528.142857142857,584.714285714286,604.142857142857,748.428571428571,826.714285714286,826.714285714286,826.714285714286,1035.71428571429,1078.42857142857,1193,1131,1140.85714285714,1140.85714285714,1140.85714285714,1119.28571428571,1063,1039.57142857143,983.857142857143,942.571428571429
3,Asturias,2020-11-14,340,346.142857142857,365.571428571429,365.571428571429,365.571428571429,428,389.714285714286,467.857142857143,493.714285714286,505.571428571429,505.571428571429,505.571428571429,529,569.714285714286,515.142857142857,492,443.857142857143,443.857142857143,443.857142857143,365.571428571429,361.571428571429,354.285714285714,327.571428571429,323.285714285714,323.285714285714
4,Baleares,2021-01-01,451.714285714286,463.428571428571,481.857142857143,416,416,416,460.428571428571,445.857142857143,457.142857142857,466.571428571429,466.571428571429,466.571428571429,466.571428571429,490.285714285714,504.285714285714,425,496,575.714285714286,575.714285714286,575.714285714286,550.714285714286,557,662.142857142857,603.571428571429,626.714285714286
5,C. Valenciana,2020-11-05,895.571428571429,860.714285714286,1003.71428571429,1071.28571428571,1116.42857142857,1116.42857142857,1116.42857142857,1101,1230.42857142857,1343.14285714286,1296.28571428571,1233.57142857143,1233.57142857143,1233.57142857143,1392.71428571429,1109.57142857143,1384.85714285714,1518.71428571429,1695.28571428571,1695.28571428571,1695.28571428571,1571.28571428571,1839.42857142857,1500.28571428571,1510.85714285714
6,Canarias,2020-12-17,97.1428571428572,81.4285714285714,161,159.857142857143,171.714285714286,171.714285714286,171.714285714286,263.571428571429,283.857142857143,222.857142857143,227.714285714286,229.714285714286,229.714285714286,229.714285714286,224.428571428571,228,217.714285714286,182.857142857143,145.857142857143,145.857142857143,145.857142857143,172.857142857143,185.285714285714,191.857142857143,192
7,Cantabria,2020-11-07,164.714285714286,162.571428571429,171.857142857143,171.857142857143,171.857142857143,170.571428571429,182.285714285714,190.380952380952,184.428571428571,203.02380952381,203.02380952381,203.02380952381,222.238095238095,191.380952380952,227,241.571428571429,230.285714285714,230.285714285714,230.285714285714,214.285714285714,248.714285714286,221.142857142857,217.714285714286,208,208
8,Ceuta,2020-11-07,52.5714285714286,54.1428571428571,58.5714285714286,58.5714285714286,58.5714285714286,60.4285714285714,63.2857142857143,66.7142857142857,68.2857142857143,70.7142857142857,70.7142857142857,70.7142857142857,69.5714285714286,61.4285714285714,70.1428571428571,65,56.4285714285714,56.4285714285714,56.4285714285714,41.7142857142857,47,35.3095238095238,34.9523809523809,32.3571428571429,32.3571428571429
9,Castilla - La Mancha,2020-11-05,783.571428571429,858.285714285714,895,935.857142857143,968.857142857143,968.857142857143,968.857142857143,986,980.142857142857,1012.7619047619,1018.66666666667,977.52380952381,977.52380952381,977.52380952381,930.5,768.880952380952,869.428571428571,840.571428571429,818.857142857143,818.857142857143,818.857142857143,773,898.571428571429,726.571428571429,681.714285714286
10,Castilla y Leon,2020-10-31,1127.42857142857,1161.28571428571,1348.71428571429,1348.71428571429,1348.71428571429,1484.42857142857,1558.57142857143,1524,1596.42857142857,1600,1600,1600,1667.85714285714,1569.85714285714,1774.14285714286,1700.57142857143,1723.71428571429,1723.71428571429,1723.71428571429,1716.42857142857,1594.42857142857,1719.14285714286,1819.85714285714,1736.28571428571,1736.28571428571
11,Catalonia,2020-10-30,2545.57142857143,2930,3254.57142857143,3411.14285714286,3411.14285714286,3411.14285714286,4411.42857142857,4661.71428571429,4786.14285714286,4929.57142857143,5142.28571428571,5142.28571428571,5142.28571428571,4273.85714285714,4441.57142857143,4553.42857142857,4536.28571428571,4403.14285714286,4403.14285714286,4403.14285714286,4417.14285714286,3613.71428571429,3614.42857142857,3054.57142857143,2958.57142857143
