,Estado,Fecha,R0_dia_1,R0_dia_2,R0_dia_3,R0_dia_4,R0_dia_5,R0_dia_6,R0_dia_7,R0_dia_8,R0_dia_9,R0_dia_10,R0_dia_11,R0_dia_12,R0_dia_13,R0_dia_14,R0_dia_15,R0_dia_16,R0_dia_17,R0_dia_18,R0_dia_19,R0_dia_20,R0_dia_21,R0_dia_22,R0_dia_23,R0_dia_24,R0_dia_25
1,Andalucia,2020-11-03,2.11303879310345,2.11303879310345,1.6789423230548,1.96779832551293,1.79327566217783,1.99405131847643,1.97970005799983,1.97970005799983,1.97970005799983,2.17508911721535,1.91223799061813,1.8456228956229,1.67684913217623,1.5787138558825,1.5787138558825,1.5787138558825,1.30993957272684,1.10066392369553,1.34787149393276,1.25771405672559,1.19683589335789,1.19683589335789,1.19683589335789,0.873839133648253,0.904670227300956
2,Aragon,2020-10-23,1.58993830090176,1.33527454242928,1.38024691358025,1.39931885908897,1.39931885908897,1.39931885908897,2.3639896373057,2.20601092896175,2.49017272185825,2.82035928143713,2.60883424408015,2.60883424408015,2.60883424408015,2.18969197926197,2.23194029850746,2.57757009345794,2.340190816935,2.40279890477639,2.40279890477639,2.40279890477639,2.12109589041096,1.82016348773842,1.71418320975843,1.30496043234897,1.12969104555769
3,Asturias,2020-11-14,1.50457516339869,1.44990665836963,1.42229924898902,1.42229924898902,1.42229924898902,1.4968814968815,1.34595701125896,1.49857278782112,1.48725972284309,1.44392721117224,1.44392721117224,1.44392721117224,1.52097602739726,1.63368869936034,1.50868809730669,1.42403433476395,1.2055239642567,1.2055239642567,1.2055239642567,0.845138888888889,0.907604562737643,0.74,0.642921550946799,0.618112543962485,0.618112543962485
4,Baleares,2021-01-01,2.36568848758465,2.08996763754045,2.16033483580167,1.810625,1.810625,1.810625,1.66321243523316,1.39399372478709,1.43656884875846,1.35884567126725,1.28165680473373,1.28165680473373,1.28165680473373,1.15941536369816,1.11577608142494,0.916692474450294,1.03159463487332,1.38660683465654,1.38660683465654,1.38660683465654,1.19657320872274,1.24823151125402,1.44971715901948,1.29332102185288,1.34225915666359
5,C. Valenciana,2020-11-05,2.18952180028129,2.36821244550139,2.40254820936639,2.50033579583613,2.34897094430993,2.34897094430993,2.34897094430993,1.99530638852673,1.75046059365404,1.96657499471123,1.78969442780108,1.60580365554927,1.60580365554927,1.60580365554927,1.54552754135218,1.2818410041841,1.37322631503512,1.41324200913242,1.51269166344543,1.51269166344543,1.51269166344543,1.42158912702561,1.48848087942931,1.11488812392427,1.16449057024886
6,Canarias,2020-12-17,0.80047225501771,0.649142857142857,1.27739726027397,1.28886310904872,1.38211382113821,1.38211382113821,1.38211382113821,2.10253456221198,2.30093676814988,1.72788353863382,1.61168032786885,1.55229716520039,1.55229716520039,1.55229716520039,2.28466076696165,2.76408450704225,1.33690795352994,1.13141314131413,0.841176470588235,0.841176470588235,0.841176470588235,0.652054794520548,0.651399491094148,0.8600129617628,0.843610934520025
7,Cantabria,2020-11-07,3.24576271186441,3.024,2.79487179487179,2.79487179487179,2.79487179487179,2.11209964412811,2.08702791461412,1.91079136690647,1.51058823529412,1.60750853242321,1.60750853242321,1.60750853242321,1.41004566210046,1.17004405286344,1.36988685813751,1.47971781305115,1.33110925771476,1.33110925771476,1.33110925771476,1.25105307497894,1.35562549173879,1.14909638554217,1.16978193146417,1.01698513800425,1.01698513800425
8,Ceuta,2020-11-07,2.18562874251497,2.51006711409396,3.03759398496241,3.03759398496241,3.03759398496241,2.40462427745665,2.86754966887417,2.81987577639752,2.25603864734299,1.97540983606557,1.97540983606557,1.97540983606557,1.56907894736842,1.27027027027027,1.31780821917808,1.18181818181818,0.948019801980198,0.948019801980198,0.948019801980198,0.670673076923077,0.729792147806005,0.526431718061674,0.513918629550321,0.462655601659751,0.462655601659751
9,Castilla - La Mancha,2020-11-05,1.3661584603849,1.81519756838906,1.70694864048338,1.82797518330513,1.78438166311301,1.78438166311301,1.78438166311301,1.6116367076632,1.46977248104009,1.53276539973788,1.48297604035309,1.35202554380363,1.35202554380363,1.35202554380363,1.17691181851445,0.889316811788346,0.964762670957361,0.894322739895094,0.842270351008215,0.842270351008215,0.842270351008215,0.779571470501908,0.91124871001032,0.711557645717543,0.660714285714286
10,Castilla y Leon,2020-10-31,1.52093933463796,1.57858410569907,1.82177830003917,1.82177830003917,1.82177830003917,1.73887189942236,1.9061282323769,1.7975051264525,1.76718474603429,1.85882550900219,1.85882550900219,1.85882550900219,1.72373540856031,1.49593047316871,1.57115285640762,1.45671455340412,1.27187701569555,1.27187701569555,1.27187701569555,1.14929164631168,1.01496004460138,1.12101910828025,1.13473569679935,1.07884493527655,1.07884493527655
